Number of agreements,Blockchain size (bytes)
10,60
20,96
30,132
40,172
50,208
60,244
70,276
80,312
90,348
100,384
110,420
120,456
130,492
140,528
150,560
160,596
170,632
180,668
190,704
200,740
210,776
220,812
230,844
240,880
250,916
260,952
270,988
280,1024
290,1060
300,1096
310,1128
320,1164
330,1200
340,1236
350,1272
360,1308
370,1344
380,1380
390,1412
400,1448
410,1484
420,1520
430,1556
440,1592
450,1628
460,1664
470,1696
480,1732
490,1768
500,1804
510,1840
520,1876
530,1912
540,1948
550,1984
560,2016
570,2052
580,2088
590,2124
600,2160
610,2196
620,2232
630,2268
640,2300
650,2336
660,2372
670,2408
680,2444
690,2480
700,2516
710,2552
720,2584
730,2620
740,2656
750,2692
760,2728
770,2764
780,2800
790,2836
800,2868
810,2904
820,2940
830,2976
840,3012
850,3048
860,3084
870,3120
880,3152
890,3188
900,3224
910,3260
920,3296
930,3332
940,3368
950,3404
960,3436
970,3472
980,3508
990,3544
1000,3580
